vt0,vt1,vt2,Velocity,,,xt0,xt1,xt2,Position,,,Svt0,Svt1,Svt2,Svelocity,,Sxt0,Sxt1,Sxt2,Sposition
5.18902272,24.709632,24.709632,5.43611904,,,0.543611904,5.18902272,5.43611904,0.596737613,,,5314,25303,25303,5567,,557,5314,5567,611
5.43611904,24.709632,24.709632,5.68321536,,,0.596737613,5.43611904,5.68321536,0.652334285,,,5567,25303,25303,5820,,611,5567,5820,668
5.68321536,24.709632,24.709632,5.93031168,,,0.652334285,5.68321536,5.93031168,0.71040192,,,5820,25303,25303,6073,,668,5820,6073,727
5.93031168,24.709632,24.709632,6.177408,,,0.71040192,5.93031168,6.177408,0.770940518,,,6073,25303,25303,6326,,727,6073,6326,789
6.177408,24.709632,24.709632,6.42450432,,,0.770940518,6.177408,6.42450432,0.83395008,,,6326,25303,25303,6579,,789,6326,6579,854
6.42450432,24.709632,24.709632,6.67160064,,,0.83395008,6.42450432,6.67160064,0.899430605,,,6579,25303,25303,6832,,854,6579,6832,921
6.67160064,24.709632,24.709632,6.91869696,,,0.899430605,6.67160064,6.91869696,0.967382093,,,6832,25303,25303,7085,,921,6832,7085,991
6.91869696,24.709632,24.709632,7.16579328,,,0.967382093,6.91869696,7.16579328,1.037804544,,,7085,25303,25303,7338,,991,7085,7338,1063
7.16579328,24.709632,24.709632,7.4128896,,,1.037804544,7.16579328,7.4128896,1.110697958,,,7338,25303,25303,7591,,1063,7338,7591,1137
7.4128896,24.709632,24.709632,7.65998592,,,1.110697958,7.4128896,7.65998592,1.186062336,,,7591,25303,25303,7844,,1137,7591,7844,1215
7.65998592,24.709632,24.709632,7.90708224,,,1.186062336,7.65998592,7.90708224,1.263897677,,,7844,25303,25303,8097,,1215,7844,8097,1294
7.90708224,24.709632,24.709632,8.15417856,,,1.263897677,7.90708224,8.15417856,1.344203981,,,8097,25303,25303,8350,,1294,8097,8350,1376
8.15417856,24.709632,24.709632,8.40127488,,,1.344203981,8.15417856,8.40127488,1.426981248,,,8350,25303,25303,8603,,1376,8350,8603,1461
8.40127488,24.709632,24.709632,8.6483712,,,1.426981248,8.40127488,8.6483712,1.512229478,,,8603,25303,25303,8856,,1461,8603,8856,1549
8.6483712,24.709632,24.709632,8.89546752,,,1.512229478,8.6483712,8.89546752,1.599948672,,,8856,25303,25303,9109,,1549,8856,9109,1638
8.89546752,24.709632,24.709632,9.14256384,,,1.599948672,8.89546752,9.14256384,1.690138829,,,9109,25303,25303,9362,,1638,9109,9362,1731
9.14256384,24.709632,24.709632,9.38966016,,,1.690138829,9.14256384,9.38966016,1.782799949,,,9362,25303,25303,9615,,1731,9362,9615,1826
9.38966016,24.709632,24.709632,9.63675648,,,1.782799949,9.38966016,9.63675648,1.877932032,,,9615,25303,25303,9868,,1826,9615,9868,1923
9.63675648,24.709632,24.709632,9.8838528,,,1.877932032,9.63675648,9.8838528,1.975535078,,,9868,25303,25303,10121,,1923,9868,10121,2023
9.8838528,24.709632,24.709632,10.13094912,,,1.975535078,9.8838528,10.13094912,2.075609088,,,10121,25303,25303,10374,,2023,10121,10374,2125
10.13094912,24.709632,24.709632,10.37804544,,,2.075609088,10.13094912,10.37804544,2.178154061,,,10374,25303,25303,10627,,2125,10374,10627,2230
10.37804544,24.709632,24.709632,10.62514176,,,2.178154061,10.37804544,10.62514176,2.283169997,,,10627,25303,25303,10880,,2230,10627,10880,2338
10.62514176,24.709632,24.709632,10.87223808,,,2.283169997,10.62514176,10.87223808,2.390656896,,,10880,25303,25303,11133,,2338,10880,11133,2448
10.87223808,24.709632,24.709632,11.1193344,,,2.390656896,10.87223808,11.1193344,2.500614758,,,11133,25303,25303,11386,,2448,11133,11386,2561
11.1193344,24.709632,24.709632,11.36643072,,,2.500614758,11.1193344,11.36643072,2.613043584,,,11386,25303,25303,11639,,2561,11386,11639,2676
11.36643072,24.709632,24.709632,11.61352704,,,2.613043584,11.36643072,11.61352704,2.727943373,,,11639,25303,25303,11892,,2676,11639,11892,2793
11.61352704,24.709632,24.709632,11.86062336,,,2.727943373,11.61352704,11.86062336,2.845314125,,,11892,25303,25303,12145,,2793,11892,12145,2914
11.86062336,24.709632,24.709632,12.10771968,,,2.845314125,11.86062336,12.10771968,2.96515584,,,12145,25303,25303,12398,,2914,12145,12398,3036
12.10771968,24.709632,24.709632,12.354816,,,2.96515584,12.10771968,12.354816,3.087468518,,,12398,25303,25303,12651,,3036,12398,12651,3162
12.354816,24.709632,24.709632,12.60191232,,,3.087468518,12.354816,12.60191232,3.21225216,,,12651,25303,25303,12904,,3162,12651,12904,3289
12.60191232,24.709632,24.709632,12.84900864,,,3.21225216,12.60191232,12.84900864,3.339506765,,,12904,25303,25303,13157,,3289,12904,13157,3420
12.84900864,24.709632,24.709632,13.09610496,,,3.339506765,12.84900864,13.09610496,3.469232333,,,13157,25303,25303,13410,,3420,13157,13410,3552
13.09610496,24.709632,24.709632,13.34320128,,,3.469232333,13.09610496,13.34320128,3.601428864,,,13410,25303,25303,13663,,3552,13410,13663,3688
13.34320128,24.709632,24.709632,13.5902976,,,3.601428864,13.34320128,0,3.66814487,,,13663,25303,25303,13916,,3688,13663,0,3756
,24.709632,24.709632,,,,,,,,,,,,,,,,,,
,24.709632,24.709632,,,,,,,,,,,,,,,,,,
,24.709632,24.709632,,,,,,,,,,,,,,,,,,
,24.709632,24.709632,,,,,,,,,,,,,,,,,,
,24.709632,24.709632,,,,,,,,,,,,,,,,,,
,24.709632,24.709632,,,,,,,,,,,,,,,,,,
,24.709632,24.709632,,,,,,,,,,,,,,,,,,
,24.709632,24.709632,,,,,,,,,,,,,,,,,,
